what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1333368377318
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1333368377339
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1333368377357
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1333368377372
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1333368377385
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1333368377398
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1333368377411
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1333368377428
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1333368377439
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1333368377444
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1333368377444
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1333368377457
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1333368377464
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1333368377465
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1333368377476
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1333368377476
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1333368377476
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1333368377483
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1333368377493
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1333368377500
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1333368377519
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1333368377535
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1333368377536
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1333368377551
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1333368377563
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1333368377576
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1333368377589
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1333368377602
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1333368377619
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1333368377629
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1333368377641
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1333368377652
os,sysinfo,,,"win32",1333368377654
arch,sysinfo,,,"x86_64",1333368377654
ws,sysinfo,,,"win32",1333368377654
locale,sysinfo,,,"zh_TW",1333368377654
processors,sysinfo,,,"4",1333368377654
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333368377654
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1333368377654
java.specification.name,sysinfo,,,"Java Platform API Specification",1333368377654
java.specification.vendor,sysinfo,,,"Oracle Corporation",1333368377654
java.specification.version,sysinfo,,,"1.7",1333368377654
java.vendor,sysinfo,,,"Oracle Corporation",1333368377654
java.version,sysinfo,,,"1.7.0_03",1333368377654
java.vm.info,sysinfo,,,"mixed mode",1333368377654
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1333368377654
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333368377654
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1333368377654
java.vm.specification.version,sysinfo,,,"1.7",1333368377654
java.vm.vendor,sysinfo,,,"Oracle Corporation",1333368377654
java.vm.version,sysinfo,,,"22.1-b02",1333368377654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333370845961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333370889853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333370890304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333370899769
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1333370919896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333370930917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333370937956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1333370951784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333370953675
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1333370953715
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1333370974465
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1333371000291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1333371002122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333371005183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1333371012590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333371046562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333371051553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333371053712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333371054527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333371055426
